player,elo_global,elo_Hard,elo_Clay,elo_Grass
Markos Kalovelonis,1474.7996130344716,1485.3305192287232,1478.5179891199325,
Kyle Edmund,1671.720795781936,1683.741689610208,1636.426975418181,1519.3324844716806
Kimmer Coppejans,1666.4293721155068,1517.0645247438108,1658.9956013438912,1469.8792928340165
David Pel,1421.983800406049,1451.797840254799,1473.9010781112097,1484.237608442152
Tim Puetz,1569.2913411456238,1598.666131635947,1534.628348386194,1481.4476029740358
Facundo Mena,1626.3056031856115,1500.092009356465,1618.5483100999056,1498.2146670767847
Jorge Brian Panta Herreros,1386.866419225251,1412.0207694902854,1414.192225224891,
Matteo Donati,1504.0915880336313,1439.065483141649,1499.5843946396235,1489.4723117251292
Aslan Karatsev,1799.0356732644968,1723.9460749733748,1761.6477943603063,1457.0891973949542
Christopher Eubanks,1778.4452342484376,1739.8194196665338,1463.910968570724,1614.953890502831
Mitchell Krueger,1711.8309760039406,1659.2398984769898,1554.639846971134,1485.6563546491177
Lorenzo Giustino,1580.434941748856,1480.9209726345505,1559.4331400758622,1409.7741052870167
Taro Daniel,1781.925558529391,1758.9835566158729,1619.74701394641,1465.61729443358
Wesley Koolhof,1449.5318542340915,1490.7914758204518,1474.2441117346457,1458.4352476296535
Jules Marie,1553.096216147894,1524.359727842452,1489.0686527058754,1477.889652907585
David Perez Sanz,1384.1856376273836,1408.8272558782314,1400.025153833898,1477.334956046289
Egor Gerasimov,1574.4640241526065,1554.4165615728928,1532.225607885656,1420.1970359435802
Pruchya Isarow,1460.4377465711018,1448.0690359568805,,
Kaichi Uchida,1511.1621212789278,1483.4904618193214,1503.7774150061073,1496.0324845950174
Shuichi Sekiguchi,1526.290547101091,1506.7935362961514,1489.0395601407763,
Zhizhen Zhang,1868.569081602049,1718.254465990586,1837.4761032491692,1536.0923118834514
Jonathan Mridha,1467.114549080522,1454.7795081319794,1465.62306271427,
Elias Ymer,1664.4655755629278,1584.8420657275778,1642.3958127361589,1538.0269198020849
Lucas Miedler,1542.7603135765398,1528.6107532169503,1525.7142126539873,1462.6957303880663
Hyeon Chung,1741.319686159674,1779.4123477920175,1707.4470605143183,1449.5571257573556
Tomas Lipovsek Puches,1415.483282584158,1498.7342233408606,1396.1162168653998,1479.0
Wilson Leite,1438.1597277015555,1426.868266227895,1415.3334981832809,
Yoshihito Nishioka,1840.9140062789704,1776.6574919058007,1683.7472539285025,1512.3959847527385
Lucas Pouille,1885.5264396212813,1788.2691757908556,1702.9851723789943,1641.3027876407866
Sidharth Rawat,1433.2063907512552,1424.6434580517175,1467.8626691651214,
Arjun Kadhe,1402.027681304538,1400.187274828138,1410.7659355635635,
